"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",239,122,117
"""31 to 60 days""",65,16,49
"""61 to 90 days""",54,16,38
"""91 to 180 days""",76,15,61
"""181 to 365 days""",41,11,30
"""366 to 730 Days (1-2 Yrs)""",15,0,15
"""731 to 1,095 Days (2-3 Yrs)""",18,0,18
"""1,096 to 1,460 Days (3-4 Yrs)""",10,0,10
"""1,461 to 1,825 Days (5-5 Yrs)""",12,0,12
"""More than 1,825 Days (>5 Yrs)""",43,0,43
"""Data Not Collected""",0,0,0
"""Total""",573,180,393
