"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",226,120,106
"""31 to 60 days""",75,11,64
"""61 to 90 days""",67,23,44
"""91 to 180 days""",81,17,64
"""181 to 365 days""",45,1,44
"""366 to 730 Days (1-2 Yrs)""",19,1,18
"""731 to 1,095 Days (2-3 Yrs)""",18,0,18
"""1,096 to 1,460 Days (3-4 Yrs)""",11,0,11
"""1,461 to 1,825 Days (5-5 Yrs)""",13,0,13
"""More than 1,825 Days (>5 Yrs)""",44,0,44
"""Data Not Collected""",0,0,0
"""Total""",599,173,426
