"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",213,139,74
"""31 to 60 days""",81,31,50
"""61 to 90 days""",62,17,45
"""91 to 180 days""",61,8,53
"""181 to 365 days""",53,4,49
"""366 to 730 Days (1-2 Yrs)""",16,0,16
"""731 to 1,095 Days (2-3 Yrs)""",13,0,13
"""1,096 to 1,460 Days (3-4 Yrs)""",14,0,14
"""1,461 to 1,825 Days (5-5 Yrs)""",10,0,10
"""More than 1,825 Days (>5 Yrs)""",49,0,49
"""Data Not Collected""",0,0,0
"""Total""",572,199,373
