"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",129,58,71
"""31 to 60 days""",61,10,51
"""61 to 90 days""",29,2,27
"""91 to 180 days""",67,7,60
"""181 to 365 days""",66,5,61
"""366 to 730 Days (1-2 Yrs)""",18,0,18
"""731 to 1,095 Days (2-3 Yrs)""",14,0,14
"""1,096 to 1,460 Days (3-4 Yrs)""",14,0,14
"""1,461 to 1,825 Days (5-5 Yrs)""",11,0,11
"""More than 1,825 Days (>5 Yrs)""",50,0,50
"""Data Not Collected""",0,0,0
"""Total""",459,82,377
