"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",9,6,3
"""31 to 60 days""",7,3,4
"""61 to 90 days""",3,1,2
"""91 to 180 days""",6,1,5
"""181 to 365 days""",4,2,2
"""366 to 730 Days (1-2 Yrs)""",0,0,0
"""731 to 1,095 Days (2-3 Yrs)""",1,0,1
"""1,096 to 1,460 Days (3-4 Yrs)""",1,0,1
"""1,461 to 1,825 Days (5-5 Yrs)""",0,0,0
"""More than 1,825 Days (>5 Yrs)""",0,0,0
"""Data Not Collected""",0,0,0
"""Total""",31,13,18
