"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",213,68,145
"""31 to 60 days""",108,37,71
"""61 to 90 days""",75,15,60
"""91 to 180 days""",81,26,55
"""181 to 365 days""",43,8,35
"""366 to 730 Days (1-2 Yrs)""",19,3,16
"""731 to 1,095 Days (2-3 Yrs)""",14,0,14
"""1,096 to 1,460 Days (3-4 Yrs)""",15,0,15
"""1,461 to 1,825 Days (5-5 Yrs)""",11,0,11
"""More than 1,825 Days (>5 Yrs)""",51,0,51
"""Data Not Collected""",0,0,0
"""Total""",630,157,473
