"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",164,49,115
"""31 to 60 days""",113,40,73
"""61 to 90 days""",83,33,50
"""91 to 180 days""",100,48,52
"""181 to 365 days""",49,1,48
"""366 to 730 Days (1-2 Yrs)""",17,2,15
"""731 to 1,095 Days (2-3 Yrs)""",10,0,10
"""1,096 to 1,460 Days (3-4 Yrs)""",18,1,17
"""1,461 to 1,825 Days (5-5 Yrs)""",9,0,9
"""More than 1,825 Days (>5 Yrs)""",55,0,55
"""Data Not Collected""",0,0,0
"""Total""",618,174,444
