"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",195,64,131
"""31 to 60 days""",97,32,65
"""61 to 90 days""",62,19,43
"""91 to 180 days""",85,22,63
"""181 to 365 days""",48,0,48
"""366 to 730 Days (1-2 Yrs)""",23,2,21
"""731 to 1,095 Days (2-3 Yrs)""",8,0,8
"""1,096 to 1,460 Days (3-4 Yrs)""",17,0,17
"""1,461 to 1,825 Days (5-5 Yrs)""",10,1,9
"""More than 1,825 Days (>5 Yrs)""",55,0,55
"""Data Not Collected""",0,0,0
"""Total""",600,140,460
