"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",219,87,132
"""31 to 60 days""",72,28,44
"""61 to 90 days""",54,16,38
"""91 to 180 days""",64,23,41
"""181 to 365 days""",48,2,46
"""366 to 730 Days (1-2 Yrs)""",29,1,28
"""731 to 1,095 Days (2-3 Yrs)""",8,0,8
"""1,096 to 1,460 Days (3-4 Yrs)""",12,0,12
"""1,461 to 1,825 Days (5-5 Yrs)""",13,0,13
"""More than 1,825 Days (>5 Yrs)""",55,0,55
"""Data Not Collected""",0,0,0
"""Total""",574,157,417
