"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",141,49,92
"""31 to 60 days""",90,25,65
"""61 to 90 days""",66,25,41
"""91 to 180 days""",67,12,55
"""181 to 365 days""",57,10,47
"""366 to 730 Days (1-2 Yrs)""",27,0,27
"""731 to 1,095 Days (2-3 Yrs)""",7,0,7
"""1,096 to 1,460 Days (3-4 Yrs)""",13,0,13
"""1,461 to 1,825 Days (5-5 Yrs)""",13,0,13
"""More than 1,825 Days (>5 Yrs)""",57,0,57
"""Data Not Collected""",0,0,0
"""Total""",538,121,417
