"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",221,94,127
"""31 to 60 days""",90,16,74
"""61 to 90 days""",74,19,55
"""91 to 180 days""",146,53,93
"""181 to 365 days""",82,14,68
"""366 to 730 Days (1-2 Yrs)""",34,4,30
"""731 to 1,095 Days (2-3 Yrs)""",4,0,4
"""1,096 to 1,460 Days (3-4 Yrs)""",9,0,9
"""1,461 to 1,825 Days (5-5 Yrs)""",16,0,16
"""More than 1,825 Days (>5 Yrs)""",60,0,60
"""Data Not Collected""",0,0,0
"""Total""",736,200,536
