"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",213,74,139
"""31 to 60 days""",97,36,61
"""61 to 90 days""",77,32,45
"""91 to 180 days""",115,58,57
"""181 to 365 days""",77,20,57
"""366 to 730 Days (1-2 Yrs)""",35,0,35
"""731 to 1,095 Days (2-3 Yrs)""",8,0,8
"""1,096 to 1,460 Days (3-4 Yrs)""",8,0,8
"""1,461 to 1,825 Days (5-5 Yrs)""",12,0,12
"""More than 1,825 Days (>5 Yrs)""",61,1,60
"""Data Not Collected""",0,0,0
"""Total""",703,221,482
