"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",182,63,119
"""31 to 60 days""",87,14,73
"""61 to 90 days""",65,6,59
"""91 to 180 days""",86,22,64
"""181 to 365 days""",41,6,35
"""366 to 730 Days (1-2 Yrs)""",45,0,45
"""731 to 1,095 Days (2-3 Yrs)""",26,0,26
"""1,096 to 1,460 Days (3-4 Yrs)""",5,0,5
"""1,461 to 1,825 Days (5-5 Yrs)""",5,0,5
"""More than 1,825 Days (>5 Yrs)""",45,0,45
"""Data Not Collected""",0,0,0
"""Total""",587,111,476
