"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",162,70,92
"""31 to 60 days""",104,31,73
"""61 to 90 days""",43,10,33
"""91 to 180 days""",98,23,75
"""181 to 365 days""",45,5,40
"""366 to 730 Days (1-2 Yrs)""",46,1,45
"""731 to 1,095 Days (2-3 Yrs)""",30,0,30
"""1,096 to 1,460 Days (3-4 Yrs)""",5,0,5
"""1,461 to 1,825 Days (5-5 Yrs)""",5,0,5
"""More than 1,825 Days (>5 Yrs)""",45,3,42
"""Data Not Collected""",0,0,0
"""Total""",583,143,440
