"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",136,31,105
"""31 to 60 days""",62,6,56
"""61 to 90 days""",62,16,46
"""91 to 180 days""",82,10,72
"""181 to 365 days""",57,0,57
"""366 to 730 Days (1-2 Yrs)""",33,0,33
"""731 to 1,095 Days (2-3 Yrs)""",24,0,24
"""1,096 to 1,460 Days (3-4 Yrs)""",8,0,8
"""1,461 to 1,825 Days (5-5 Yrs)""",3,0,3
"""More than 1,825 Days (>5 Yrs)""",33,0,33
"""Data Not Collected""",0,0,0
"""Total""",500,63,437
