"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",268,164,104
"""31 to 60 days""",108,19,89
"""61 to 90 days""",64,7,57
"""91 to 180 days""",116,28,88
"""181 to 365 days""",78,2,76
"""366 to 730 Days (1-2 Yrs)""",45,2,43
"""731 to 1,095 Days (2-3 Yrs)""",39,0,39
"""1,096 to 1,460 Days (3-4 Yrs)""",9,0,9
"""1,461 to 1,825 Days (5-5 Yrs)""",2,0,2
"""More than 1,825 Days (>5 Yrs)""",33,0,33
"""Data Not Collected""",0,0,0
"""Total""",762,222,540
