"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",495,319,176
"""31 to 60 days""",96,34,62
"""61 to 90 days""",96,18,78
"""91 to 180 days""",124,24,100
"""181 to 365 days""",111,12,99
"""366 to 730 Days (1-2 Yrs)""",76,0,76
"""731 to 1,095 Days (2-3 Yrs)""",27,1,26
"""1,096 to 1,460 Days (3-4 Yrs)""",22,0,22
"""1,461 to 1,825 Days (5-5 Yrs)""",8,0,8
"""More than 1,825 Days (>5 Yrs)""",34,1,33
"""Data Not Collected""",0,0,0
"""Total""",1089,409,680
