"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",401,261,140
"""31 to 60 days""",143,42,101
"""61 to 90 days""",98,38,60
"""91 to 180 days""",207,26,181
"""181 to 365 days""",170,4,166
"""366 to 730 Days (1-2 Yrs)""",113,0,113
"""731 to 1,095 Days (2-3 Yrs)""",40,0,40
"""1,096 to 1,460 Days (3-4 Yrs)""",30,0,30
"""1,461 to 1,825 Days (5-5 Yrs)""",14,0,14
"""More than 1,825 Days (>5 Yrs)""",30,0,30
"""Data Not Collected""",0,0,0
"""Total""",1246,371,875
