"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",404,239,165
"""31 to 60 days""",86,28,58
"""61 to 90 days""",91,21,70
"""91 to 180 days""",163,22,141
"""181 to 365 days""",212,13,199
"""366 to 730 Days (1-2 Yrs)""",122,2,120
"""731 to 1,095 Days (2-3 Yrs)""",47,0,47
"""1,096 to 1,460 Days (3-4 Yrs)""",27,0,27
"""1,461 to 1,825 Days (5-5 Yrs)""",17,0,17
"""More than 1,825 Days (>5 Yrs)""",31,0,31
"""Data Not Collected""",0,0,0
"""Total""",1200,325,875
