"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",286,188,98
"""31 to 60 days""",101,38,63
"""61 to 90 days""",49,9,40
"""91 to 180 days""",119,19,100
"""181 to 365 days""",220,9,211
"""366 to 730 Days (1-2 Yrs)""",181,2,179
"""731 to 1,095 Days (2-3 Yrs)""",56,1,55
"""1,096 to 1,460 Days (3-4 Yrs)""",24,0,24
"""1,461 to 1,825 Days (5-5 Yrs)""",21,1,20
"""More than 1,825 Days (>5 Yrs)""",37,1,36
"""Data Not Collected""",0,0,0
"""Total""",1094,268,826
