"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",280,144,136
"""31 to 60 days""",68,5,63
"""61 to 90 days""",61,9,52
"""91 to 180 days""",75,7,68
"""181 to 365 days""",156,7,149
"""366 to 730 Days (1-2 Yrs)""",243,1,242
"""731 to 1,095 Days (2-3 Yrs)""",72,0,72
"""1,096 to 1,460 Days (3-4 Yrs)""",23,0,23
"""1,461 to 1,825 Days (5-5 Yrs)""",27,0,27
"""More than 1,825 Days (>5 Yrs)""",36,0,36
"""Data Not Collected""",0,0,0
"""Total""",1041,173,868
