"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",243,124,119
"""31 to 60 days""",96,23,73
"""61 to 90 days""",65,19,46
"""91 to 180 days""",174,35,139
"""181 to 365 days""",139,4,135
"""366 to 730 Days (1-2 Yrs)""",271,6,265
"""731 to 1,095 Days (2-3 Yrs)""",101,0,101
"""1,096 to 1,460 Days (3-4 Yrs)""",43,0,43
"""1,461 to 1,825 Days (5-5 Yrs)""",24,0,24
"""More than 1,825 Days (>5 Yrs)""",46,0,46
"""Data Not Collected""",0,0,0
"""Total""",1202,211,991
