"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",202,127,75
"""31 to 60 days""",72,17,55
"""61 to 90 days""",62,14,48
"""91 to 180 days""",140,39,101
"""181 to 365 days""",171,13,158
"""366 to 730 Days (1-2 Yrs)""",262,2,260
"""731 to 1,095 Days (2-3 Yrs)""",129,0,129
"""1,096 to 1,460 Days (3-4 Yrs)""",44,0,44
"""1,461 to 1,825 Days (5-5 Yrs)""",25,0,25
"""More than 1,825 Days (>5 Yrs)""",50,0,50
"""Data Not Collected""",0,0,0
"""Total""",1157,212,945
