"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",407,237,170
"""31 to 60 days""",133,23,110
"""61 to 90 days""",58,12,46
"""91 to 180 days""",73,11,62
"""181 to 365 days""",117,11,106
"""366 to 730 Days (1-2 Yrs)""",212,11,201
"""731 to 1,095 Days (2-3 Yrs)""",209,1,208
"""1,096 to 1,460 Days (3-4 Yrs)""",68,0,68
"""1,461 to 1,825 Days (5-5 Yrs)""",19,0,19
"""More than 1,825 Days (>5 Yrs)""",60,0,60
"""Data Not Collected""",0,0,0
"""Total""",1356,306,1050
