"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",415,224,191
"""31 to 60 days""",119,18,101
"""61 to 90 days""",108,8,100
"""91 to 180 days""",161,19,142
"""181 to 365 days""",70,3,67
"""366 to 730 Days (1-2 Yrs)""",201,3,198
"""731 to 1,095 Days (2-3 Yrs)""",230,0,230
"""1,096 to 1,460 Days (3-4 Yrs)""",81,0,81
"""1,461 to 1,825 Days (5-5 Yrs)""",24,0,24
"""More than 1,825 Days (>5 Yrs)""",63,0,63
"""Data Not Collected""",0,0,0
"""Total""",1472,275,1197
