"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",327,142,185
"""31 to 60 days""",153,29,124
"""61 to 90 days""",131,8,123
"""91 to 180 days""",276,27,249
"""181 to 365 days""",152,11,141
"""366 to 730 Days (1-2 Yrs)""",175,3,172
"""731 to 1,095 Days (2-3 Yrs)""",249,0,249
"""1,096 to 1,460 Days (3-4 Yrs)""",94,0,94
"""1,461 to 1,825 Days (5-5 Yrs)""",33,0,33
"""More than 1,825 Days (>5 Yrs)""",65,1,64
"""Data Not Collected""",0,0,0
"""Total""",1655,221,1434
