"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",340,149,191
"""31 to 60 days""",116,8,108
"""61 to 90 days""",134,4,130
"""91 to 180 days""",290,37,253
"""181 to 365 days""",198,3,195
"""366 to 730 Days (1-2 Yrs)""",166,0,166
"""731 to 1,095 Days (2-3 Yrs)""",257,0,257
"""1,096 to 1,460 Days (3-4 Yrs)""",99,0,99
"""1,461 to 1,825 Days (5-5 Yrs)""",40,0,40
"""More than 1,825 Days (>5 Yrs)""",65,1,64
"""Data Not Collected""",0,0,0
"""Total""",1705,202,1503
