"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",401,193,208
"""31 to 60 days""",149,22,127
"""61 to 90 days""",98,14,84
"""91 to 180 days""",274,46,228
"""181 to 365 days""",313,19,294
"""366 to 730 Days (1-2 Yrs)""",155,5,150
"""731 to 1,095 Days (2-3 Yrs)""",251,0,251
"""1,096 to 1,460 Days (3-4 Yrs)""",123,0,123
"""1,461 to 1,825 Days (5-5 Yrs)""",39,0,39
"""More than 1,825 Days (>5 Yrs)""",68,1,67
"""Data Not Collected""",0,0,0
"""Total""",1871,300,1571
