"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",388,245,143
"""31 to 60 days""",57,7,50
"""61 to 90 days""",106,3,103
"""91 to 180 days""",269,6,263
"""181 to 365 days""",405,0,405
"""366 to 730 Days (1-2 Yrs)""",251,0,251
"""731 to 1,095 Days (2-3 Yrs)""",181,0,181
"""1,096 to 1,460 Days (3-4 Yrs)""",207,0,207
"""1,461 to 1,825 Days (5-5 Yrs)""",64,0,64
"""More than 1,825 Days (>5 Yrs)""",74,0,74
"""Data Not Collected""",0,0,0
"""Total""",2002,261,1741
